Glasser_parcels,Yeo_parcels,Overlap_percent
1,1,100
2,1,61.8421052631579
3,1,100
4,1,100
5,1,100
6,1,100
7,1,100
8,2,100
9,2,100
10,3,52.5139664804469
11,3,72.5274725274725
12,4,51.4018691588785
13,1,100
14,7,50.2164502164502
15,6,44
16,1,100
17,3,60.3603603603604
18,1,88.622754491018
19,1,100
20,1,100
21,1,100
22,1,100
23,1,100
24,2,100
25,4,85.7142857142857
26,7,51.2605042016807
27,3,45.7317073170732
28,4,65.5405405405405
29,6,61.4583333333333
30,7,100
31,7,75
32,7,55.7522123893805
33,7,100
34,7,100
35,7,100
36,2,100
37,4,73.6363636363636
38,4,84.7583643122677
39,2,86.8020304568528
40,2,93.1451612903226
41,2,80.2547770700637
42,3,68.2634730538922
43,4,82.9015544041451
44,4,60.2870813397129
45,3,100
46,3,100
47,3,79.0816326530612
48,3,90.9090909090909
49,3,100
50,3,100
51,2,100
52,2,86.2179487179487
53,2,100
54,2,89.8876404494382
55,2,82.5278810408922
56,2,42.7350427350427
57,4,77.1739130434783
58,4,68
59,4,98.1132075471698
60,4,100
61,7,98.780487804878
62,7,81.3008130081301
63,6,76.5714285714286
64,7,100
65,7,100
66,7,60.655737704918
67,6,87.9227053140097
68,7,97.489539748954
69,7,100
70,7,99.4736842105263
71,7,97.0873786407767
72,7,93.2203389830508
73,6,100
74,6,58.6206896551724
75,7,75.5555555555556
76,7,93.9130434782609
77,6,76.4367816091954
78,4,53.9923954372624
79,6,92.4050632911392
80,3,80.9523809523809
81,6,96.2406015037594
82,6,72.4358974358974
83,6,100
84,6,70.3703703703704
85,6,100
86,6,65.4618473895582
87,7,97.7099236641221
88,5,62.2448979591837
89,6,74.6478873239437
90,5,98.9583333333333
91,6,69.9346405228758
92,5,89.0243902439024
93,5,100
94,7,57.5342465753425
95,3,90.6666666666667
96,3,83.1858407079646
97,6,91.9191919191919
98,6,56.9767441860465
99,4,50.3703703703704
100,2,96.2790697674419
101,2,100
102,2,100
103,2,94.3396226415094
104,2,100
105,2,52.7173913043478
106,4,65.1162790697674
107,2,88.2882882882883
108,4,100
109,4,99.0654205607477
110,5,27.9187817258883
111,6,76.6666666666667
112,4,41.2698412698413
113,4,100
114,4,100
115,2,63.953488372093
116,3,91.7098445595855
117,3,100
118,5,86.046511627907
119,1,43.7869822485207
120,5,1.44230769230769
121,1,100
122,5,97.7564102564102
123,7,52.0833333333333
124,2,100
125,2,96.9849246231156
126,1,65.1785714285714
127,1,98.8235294117647
128,7,99.468085106383
129,7,84.7619047619048
130,7,100
131,5,83.0143540669856
132,7,100
133,6,70.353982300885
134,5,49.4623655913978
135,5,91.0543130990415
136,3,88.9655172413793
137,3,55.3719008264463
138,3,59.8837209302326
139,4,37.7104377104377
140,3,58.041958041958
141,3,66.3157894736842
142,1,90
143,3,49.0196078431373
144,6,78.8990825688073
145,6,85.5670103092783
146,3,61.0526315789474
147,4,81.2903225806452
148,4,88.5117493472585
149,6,79.8301486199575
150,7,99.4694960212202
151,7,79.4258373205742
152,1,100
153,1,100
154,1,100
155,1,96.7213114754098
156,1,100
157,3,74.025974025974
158,1,100
159,1,100
160,1,100
161,7,100
162,7,54.1666666666667
163,1,100
164,5,91.9354838709677
165,7,80.7692307692308
166,5,88.9830508474576
167,4,77.3006134969325
168,2,100
169,4,94.8717948717949
170,6,75.6756756756757
171,6,83
172,5,100
173,2,100
174,2,100
175,2,100
176,7,100
177,7,79.5081967213115
178,4,82.6771653543307
179,6,74.0157480314961
180,7,82.1917808219178
181,1,100
182,3,52.0547945205479
183,1,100
184,1,100
185,1,100
186,1,100
187,1,100
188,2,100
189,2,100
190,3,71.2418300653595
191,3,87.5
192,2,29.2307692307692
193,1,100
194,7,49.7630331753554
195,6,39.2
196,1,100
197,3,62.962962962963
198,1,66.2251655629139
199,1,100
200,1,100
201,1,100
202,1,100
203,1,91.3793103448276
204,2,100
205,4,49.079754601227
206,7,86.4864864864865
207,7,67.0731707317073
208,7,57.9710144927536
209,6,74.468085106383
210,7,100
211,7,84.4444444444444
212,7,96.2962962962963
213,7,100
214,7,98.8636363636364
215,7,100
216,2,100
217,4,80.6282722513089
218,4,81.0699588477366
219,2,85.1063829787234
220,2,92.8251121076233
221,2,63.8297872340426
222,3,80.3921568627451
223,4,66.0098522167488
224,4,53.9325842696629
225,3,86.5384615384615
226,3,100
227,3,83.0409356725146
228,3,100
229,3,100
230,3,100
231,2,100
232,2,87.979094076655
233,2,100
234,2,100
235,2,96.8992248062015
236,2,60
237,4,81.4814814814815
238,6,56.3636363636364
239,4,85.1063829787234
240,4,100
241,7,98.8888888888889
242,7,100
243,6,49.4252873563218
244,7,100
245,7,96.8085106382979
246,7,84.9056603773585
247,7,97.4874371859297
248,7,99.1735537190083
249,7,100
250,7,100
251,7,100
252,7,93.4640522875817
253,6,73.9299610894942
254,6,41.726618705036
255,7,90.5
256,7,100
257,7,75
258,4,62.8099173553719
259,6,95.4545454545455
260,3,54.0229885057471
261,6,91.2621359223301
262,6,91.1949685534591
263,6,100
264,6,57.2769953051643
265,6,100
266,6,47.940074906367
267,7,100
268,5,66.9172932330827
269,7,70.4761904761905
270,5,98.9473684210526
271,6,59.4117647058824
272,5,94.8717948717949
273,5,100
274,7,85.7142857142857
275,3,68.6868686868687
276,3,80.8333333333333
277,6,80.2325581395349
278,7,67.2727272727273
279,4,65.0793650793651
280,2,95.7547169811321
281,2,100
282,2,100
283,2,63.8888888888889
284,2,100
285,4,53.4351145038168
286,4,81.9875776397515
287,2,60.5633802816901
288,4,99.5391705069124
289,4,95.7264957264957
290,5,35.4838709677419
291,6,62.6984126984127
292,7,36.8421052631579
293,4,100
294,4,100
295,4,54.8076923076923
296,3,89.2307692307692
297,3,97.0873786407767
298,5,89.5348837209302
299,1,36.4779874213836
300,5,1.71673819742489
301,1,100
302,5,97.9591836734694
303,7,54.3859649122807
304,2,100
305,2,51.4492753623188
306,7,50.9259259259259
307,1,80.8333333333333
308,7,100
309,7,100
310,7,100
311,5,76.555023923445
312,7,100
313,7,52.9411764705882
314,7,49.802371541502
315,5,89.527027027027
316,3,85.6
317,3,40.1098901098901
318,3,79.1111111111111
319,7,39.7790055248619
320,3,42.3076923076923
321,3,73.8095238095238
322,1,92.2480620155039
323,3,53.0612244897959
324,6,96.4646464646465
325,6,74.0740740740741
326,3,54.6296296296296
327,4,77.3584905660377
328,4,63.4408602150538
329,7,53.6345776031434
330,7,100
331,7,94.7540983606557
332,1,100
333,1,100
334,1,100
335,7,55.8823529411765
336,1,100
337,3,86.734693877551
338,1,100
339,1,100
340,1,100
341,7,100
342,7,87.5
343,1,100
344,5,100
345,5,57.4074074074074
346,5,98.7179487179487
347,4,77.9220779220779
348,2,100
349,4,94.9275362318841
350,7,80
351,6,82.1705426356589
352,5,100
353,2,95.6043956043956
354,2,100
355,2,100
356,7,100
357,7,99.0196078431373
358,4,63.8461538461538
359,6,52.34375
360,7,98.2758620689655
